sc,model,scenario,MPscen,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2070,y2080,y2090,y2100,rank
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Baseline_CLE,307.7310452422,300.2077538677,296.6451750221,296.9886051381,296.3477948041,294.2140876433,294.4524696853,293.6291593398,294.2059236394,294.5221417831,295.2255311248,296.4357364436,296.9939289545,302.9285600223,310.7628314768,318.2385912049,320.2603900363,322.4476753697,325.4856714069,324.2253810579,325.008550621,329.5352440911,334.5746687677,337.2629418071,338.7983588928,341.4712744875,342.7749079159,347.0289385346,354.2432371449,357.894529334,358.92778941,,384.43098726,,425.33400865,,460.99987292,,484.17882865,492.70462381,493.08101633,477.74000037,458.00126792,1
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,MFR_tech,307.7310452422,300.2077538677,296.6451750221,296.9886051381,296.3477948041,294.2140876433,294.4524696853,293.6291593398,294.2059236394,294.5221417831,295.2255311248,296.4357364436,296.9939289545,302.9285600223,310.7628314768,318.2385912049,320.2603900363,322.4476753697,325.4856714069,324.2253810579,325.008550621,329.5352440911,334.5746687677,337.2629418071,338.7983588928,341.4712744875,342.7749079159,347.0289385346,354.2432371449,357.894529334,358.92778941,,262.05273951,,254.6019689,,253.79186469,,270.46473027,280.47773442,285.72949542,287.24213898,285.34724179,2
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,MFR_explore,307.7310452422,300.2077538677,296.6451750221,296.9886051381,296.3477948041,294.2140876433,294.4524696853,293.6291593398,294.2059236394,294.5221417831,295.2255311248,296.4357364436,296.9939289545,302.9285600223,310.7628314768,318.2385912049,320.2603900363,322.4476753697,325.4856714069,324.2253810579,325.008550621,329.5352440911,334.5746687677,337.2629418071,338.7983588928,341.4712744875,342.7749079159,347.0289385346,354.2432371449,357.894529334,358.92778941,,260.66095327,,253.30044211,,252.45449898,,269.09626406,279.09302917,284.34261077,285.86529555,283.99736567,3
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,MFR_struc,307.7310452422,300.2077538677,296.6451750221,296.9886051381,296.3477948041,294.2140876433,294.4524696853,293.6291593398,294.2059236394,294.5221417831,295.2255311248,296.4357364436,296.9939289545,302.9285600223,310.7628314768,318.2385912049,320.2603900363,322.4476753697,325.4856714069,324.2253810579,325.008550621,329.5352440911,334.5746687677,337.2629418071,338.7983588928,341.4712744875,342.7749079159,347.0289385346,354.2432371449,357.894529334,358.92778941,,255.88823312,,239.7949995,,232.21411635,,248.99432523,257.72526001,264.43300279,268.24356695,269.4144324,4
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,MFR_behavior,307.7310452422,300.2077538677,296.6451750221,296.9886051381,296.3477948041,294.2140876433,294.4524696853,293.6291593398,294.2059236394,294.5221417831,295.2255311248,296.4357364436,296.9939289545,302.9285600223,310.7628314768,318.2385912049,320.2603900363,322.4476753697,325.4856714069,324.2253810579,325.008550621,329.5352440911,334.5746687677,337.2629418071,338.7983588928,341.4712744875,342.7749079159,347.0289385346,354.2432371449,357.894529334,358.92778941,,218.45520456,,205.84773242,,198.89602155,,215.53146379,224.80889768,232.39835752,237.49226174,240.05139381,5
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,MFR_develop,307.7310452422,300.2077538677,296.6451750221,296.9886051381,296.3477948041,294.2140876433,294.4524696853,293.6291593398,294.2059236394,294.5221417831,295.2255311248,296.4357364436,296.9939289545,302.9285600223,310.7628314768,318.2385912049,320.2603900363,322.4476753697,325.4856714069,324.2253810579,325.008550621,329.5352440911,334.5746687677,337.2629418071,338.7983588928,341.4712744875,342.7749079159,347.0289385346,354.2432371449,357.894529334,358.92778941,,212.68189454,,200.36594471,,194.73528025,,210.63993929,219.20481401,226.08048289,230.34413158,231.99191535,6
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|BC,,,,,,,,,,,6.9080729863,,,,,7.0515210658,,,,,7.0969671227,,,,,,,,,,6.0399257996,,5.5188155675,,4.8084903809,,3.9561733279,,3.2436090877,2.6761152044,2.1613671174,1.7561854539,1.7065829645,10
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|CO,,,,,,,,,,,859.4526526415,,,,,892.3366765744,,,,,861.1360921187,,,,,,,,,,771.7075256174,,702.2975414886,,609.8600008092,,490.8879433567,,395.8110956857,325.6754915048,261.1594580676,222.211163225,201.934729588,11
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|CO2,,,,,,,,,,,31667.9081809384,,,,,35933.0696922335,,,,,38542.0181412591,,,,,,,,,,42471.8962208013,,39822.698374385,,36627.974230469,,30383.5920532797,,18273.5426824102,6244.4860665745,-378.073848727,-7267.9760844904,-10746.383080893,12
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|N2O,,,,,,,,,,,7797.7226552341,,,,,8252.0778434241,,,,,8725.522277545,,,,,,,,,,9701.2906915986,,10329.74701005,,10409.7139175481,,9866.4058876546,,9429.9848246434,8900.429243722,8040.0528413872,7625.4497682749,7215.6103237519,14
