model,scenario,region,variable,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,37138.4127655029,,35681.1129353841,,31371.5041020711,,21070.651309967,9691.5709635417,3817.9688685735,-2248.2918200493,-6292.7770662308
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,2684.2856088821,,946.8612950849,,-987.9120487914,,-2797.1086275568,-3447.0848969671,-4196.0427173005,-5019.6842644411,-4453.6060146622
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_50,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,30756.5955556234,,22810.2106374105,,11709.4351959228,,3023.0819466909,-2554.9167671204,-6487.7927738826,-9652.1165793737,-11801.7255947288
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_50,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,2125.4165850996,,170.9459366883,,-1400.6667877672,,-3379.0214495445,-3492.6706703647,-4119.1499466604,-4849.949743469,-4395.4814290808
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,37901.3922271729,,36858.6748504639,,30625.5708440145,,19532.3635953267,8823.292514801,3010.9481919607,-2617.8725398382,-6334.7338066896
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,2684.1053406819,,946.6141263161,,-988.5925478259,,-2797.4872842434,-3448.6404027653,-4182.0219469447,-5008.2117422519,-4447.3792973647
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,30680.3921763102,,22555.403523763,,11654.1218350728,,2631.9379812876,-2758.048166275,-6690.629042844,-9879.3169034322,-12112.9333533541
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,2129.5352364347,,175.2861366107,,-1404.6559029397,,-3380.7044539342,-3494.7276014736,-4120.6417583171,-4850.947467497,-4225.8601706639
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,37184.9878158569,,35787.5717938741,,31528.1393178304,,21098.9650449753,9719.1696697871,3916.1722211838,-2182.4954428673,-6289.7242191037
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,2684.2607710152,,946.8273438364,,-987.9295505962,,-2797.11790944,-3447.0961400716,-4196.0482149668,-5019.6853870267,-4453.6049766789
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,30863.4739430746,,23178.8644816081,,11767.1444485982,,3056.1229089101,-2518.3314533234,-6484.9635527929,-9673.4355413119,-11799.9005903101
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,2125.0895560819,,170.7867680277,,-1397.0597786285,,-3377.1122349757,-3491.26241953,-4118.3027925903,-4849.4271621954,-4399.2715035718
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,37898.8078715007,,36811.2779693604,,30842.5455703735,,19656.6309833527,8826.1610323588,3028.6474281947,-2573.6880920728,-6336.1616493861
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,2684.1045325931,,946.6103326902,,-988.5979399746,,-2797.4889330548,-3448.6407741897,-4182.777042308,-5008.8026930027,-4447.7207988968
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,30704.2595926921,,22796.42527771,,11770.2353159587,,2657.2686325709,-2669.0007859866,-6625.1765672366,-9866.6704700788,-12108.4645893669
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,2128.5734133209,,175.2250590194,,-1406.0306507674,,-3381.536204839,-3495.1584890918,-4120.834257086,-4851.1448860822,-4226.0396870996
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,27424.2272065185,,17416.5345685622,,7268.8780341184,,-1294.8371368066,-6291.2873705624,-9301.7900810523,-11265.8762903741,-12792.9581957816
