sc,model,scenario,MPscen,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2070,y2080,y2090,y2100,rank
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|BC,,,,,,,,,,,6.908072986,,,,,7.051521066,,,,,7.096967123,,,,,,,,,,6.0399258,,5.518815568,,4.808490381,,3.956173328,,3.243609088,2.676115204,2.161367117,1.756185454,1.706582965,10
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|CO,,,,,,,,,,,859.4526526,,,,,892.3366766,,,,,861.1360921,,,,,,,,,,771.7075256,,702.2975415,,609.8600008,,490.8879434,,395.8110957,325.6754915,261.1594581,222.2111632,201.9347296,11
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|CO2,,,,,,,,,,,31667.90818,,,,,35933.06969,,,,,38542.01814,,,,,,,,,,42471.89622,,39822.69837,,36627.97423,,30383.59205,,18273.54268,6244.486067,-378.0738487,-7267.976084,-10746.38308,12
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|N2O,,,,,,,,,,,7797.722655,,,,,8252.077843,,,,,8725.522278,,,,,,,,,,9701.290692,,10329.74701,,10409.71392,,9866.405888,,9429.984825,8900.429244,8040.052841,7625.449768,7215.610324,14
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|NH3,,,,,,,,,,,52.21303021,,,,,54.26748468,,,,,56.04023332,,,,,,,,,,49.7070849,,50.43611223,,49.11682327,,45.35646779,,42.76086294,37.99441635,34.38957418,31.70491944,29.30900504,15
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|NOx,,,,,,,,,,,112.1667334,,,,,119.5270866,,,,,114.3600528,,,,,,,,,,107.889935,,98.17071267,,85.92223465,,74.97932947,,65.66497901,60.31519038,56.64528169,50.86649616,46.82817564,16
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|OC,,,,,,,,,,,34.54351736,,,,,33.99336132,,,,,33.3069011,,,,,,,,,,29.59614712,,25.83179666,,22.36340853,,18.7782802,,15.85107896,13.20955431,10.48921762,8.746397123,8.180064757,17
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|Sulfur,,,,,,,,,,,92.15418255,,,,,108.5628476,,,,,99.94693851,,,,,,,,,,74.30554469,,63.79099954,,49.15101999,,35.64329049,,27.83523569,24.16311297,21.85545539,19.54307948,17.61812358,19
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Emissions|VOC,,,,,,,,,,,190.7659284,,,,,196.4786927,,,,,189.8171299,,,,,,,,,,176.6444781,,165.6848493,,150.4187643,,130.2136011,,112.9403022,99.8680374,85.91765828,75.86345145,71.96811295,20
598,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_50,Emissions|BC,,,,,,,,,,,6.908072986,,,,,7.051521066,,,,,7.096967123,,,,,,,,,,6.0399258,,5.064116699,,4.130370466,,3.401554167,,2.905083926,2.373675503,1.869785011,1.464832074,1.38231479,10
598,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_50,Emissions|CO,,,,,,,,,,,859.4526526,,,,,892.3366766,,,,,861.1360921,,,,,,,,,,771.7075256,,666.5803727,,531.2555879,,431.3260053,,352.3428632,286.626192,219.3857787,172.8895152,151.7745838,11
598,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_50,Emissions|CO2,,,,,,,,,,,31667.90818,,,,,35933.06969,,,,,38542.01814,,,,,,,,,,42471.89622,,32882.01214,,22981.15657,,10308.76841,,-355.9395029,-6047.587437,-10606.94272,-14502.06632,-16197.20702,12
598,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_50,Emissions|N2O,,,,,,,,,,,7797.722655,,,,,8252.077843,,,,,8725.522278,,,,,,,,,,9701.290692,,9870.621824,,9321.926864,,8717.22761,,8055.271985,7237.14623,6764.422691,6300.905009,5981.817811,14
