"Model","Scenario","Region","Variable","Unit","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"IMAGE 3.0.1","SSP1-19","World","AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|5.0th Percentile","W/m^2",1.708073353869626,1.726885868144321,1.686941426263058,1.684214307662741,1.654190835969117,1.622816066444313,1.663028102334119,1.675124825793782,1.810257615160486,1.842305932508554,1.809320146174782,1.97921694261352,1.997080013656141,2.070844002914833,2.049412089309586,2.081262062759383,2.12547523276874,2.181088687562608,2.237169924728293,2.293995370884155,2.341699113466214,2.408900985519908,2.491516360231386,2.555822696965718,2.599740120182501,2.627564794921418,2.642665170107682,2.674265191929903,2.713419688427331,2.737651108341718,2.742828451017644,2.724417766683542,2.728576803512468,2.74545411684619,2.765753366016356,2.7660206370689,2.776457892058092,2.759366208048691,2.757464496515443,2.733764142927752,2.713184230864803,2.683179139851439,2.670272526002712,2.663704412276683,2.664261656352154,2.687629850894384,2.698948431510352,2.705260367512785,2.69230205443105,2.661939262020374,2.618596960748549,2.58593037174136,2.557518366671245,2.531635947946535,2.516280488344382,2.513374130791674,2.518559924040424,2.500672348954358,2.486064351353387,2.470766639343126,2.438315351688901,2.410330194604579,2.38957928190106,2.370577585790053,2.353828608636963,2.344130177270809,2.345926896134193,2.345932656558269,2.340371606484351,2.322284758765485,2.301538384903766,2.278298710140808,2.258972923416503,2.238314047643588,2.215863881394562,2.198750095299179,2.179856972088909,2.171239415670367,2.169340685818451,2.168112495915797,2.161098221738086,2.146694540660809,2.129541401751065,2.105804735391481,2.085354626953103,2.051725564634797,2.027836029642862,2.008837149152911,1.996396238055541,1.99290906778598,1.999103173513102,1.995884032303622,1.994319026796984,1.972930326166417,1.940530711548374,1.910401324600616,1.876007154128647,1.850062941608882,1.828919607018614,1.816233477493404,1.810046897837596
"IMAGE 3.0.1","SSP1-19","World","AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|95.0th Percentile","W/m^2",2.548021844936896,2.566072314718057,2.592058863586531,2.625389179923558,2.623049045411018,2.61708735499299,2.652913309142046,2.69806600022461,2.787199015756734,2.83284227066167,2.865929674538835,2.974224895825129,3.026014028401468,3.110061918533062,3.109038828217522,3.141133518420707,3.17181588161639,3.192705537485363,3.210024263852763,3.237214373177645,3.2580150414975,3.306887327319608,3.350394344586037,3.382850087993214,3.406209239497018,3.412295923136824,3.4171887363907,3.417489319876927,3.437947438510681,3.438858308362482,3.441334177016499,3.422071370563647,3.420581744904095,3.43094394031437,3.459694836584039,3.452235634933789,3.457396774877026,3.433955532914857,3.428795077515186,3.406693741814734,3.367811027291927,3.34794828075738,3.324335681588014,3.314578293245074,3.308860800037124,3.328972261188188,3.336027448886361,3.342509360330365,3.332657850194997,3.304827942121873,3.266981661068057,3.233087305405316,3.203521622772671,3.178191523743593,3.164473213986538,3.165145762245769,3.174648484716902,3.159850231029217,3.146174842133774,3.136131713524524,3.103549489934632,3.06969891175086,3.042580537970336,3.020101641167798,3.004277465930912,2.9946586290632,3.000313089980801,3.00900376544219,3.009746793789024,2.992018217133557,2.966426035636301,2.935395323454406,2.916972374710138,2.899466316285355,2.877895129416182,2.862919134597758,2.849294903761114,2.842058646127936,2.841867485200696,2.837129804128978,2.827293146086808,2.815058442590094,2.801434755461698,2.78048104235452,2.763728399158924,2.738401415383726,2.711576214542085,2.695208102597529,2.685406844319123,2.682182615516769,2.686338478539477,2.684627401485307,2.691411912778504,2.664212401227577,2.632081919156145,2.598491619409072,2.563242769502806,2.538699821913812,2.517495379848069,2.508198108031858,2.509208379721159
"IMAGE 3.0.1","SSP1-19","World","AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|50.0th Percentile","W/m^2",2.062626323232236,2.081195734955324,2.057502505917405,2.07649976266374,2.070092193326171,2.04683714105445,2.099257148923206,2.122123904052469,2.242007129318428,2.280531562964184,2.282658981347761,2.422511772782463,2.462737033142784,2.545159497088055,2.535742660177919,2.562335978634932,2.595110827308502,2.629746733859287,2.668540940338516,2.705820484381689,2.748721895977688,2.809579027305888,2.873344772068221,2.92159005881632,2.964321249537716,2.984115186832809,3.002279808721663,3.018397328203347,3.046506415741606,3.065420271050763,3.0701118982626,3.047167478029428,3.048114170625082,3.064287854454388,3.092124488099016,3.090548241940384,3.101452510985995,3.081305804266473,3.071448163334797,3.044089822180325,3.019487955465046,2.993978569191288,2.978397326109995,2.967685025937175,2.965145690427422,2.982523374965965,2.99011209573365,2.996815783225885,2.987574241173977,2.961877430888922,2.92015764143054,2.885440084176139,2.857909071216138,2.832939429454065,2.817368208746615,2.814885285607027,2.821625812985612,2.806842964135402,2.793348219090608,2.781431464434668,2.746675571178046,2.718842108855561,2.695247252874307,2.674884899235906,2.658114892082153,2.648942525533927,2.653503857782285,2.658769034072141,2.656166508954585,2.636422058682261,2.607190905297887,2.577320220939992,2.551658270236179,2.53285560527551,2.507139426615776,2.487677244017005,2.470664729238862,2.461041460707026,2.460806169126103,2.460329010495278,2.456118687776207,2.443179413967338,2.427267837927641,2.399507639526439,2.378621907169082,2.345122928287803,2.319410814794133,2.302931090767204,2.290580258557282,2.286357011319359,2.29302842880725,2.292245690592909,2.299202808402333,2.271218616419045,2.235044593045952,2.20228890679767,2.16872222480153,2.14651625728635,2.123554629090609,2.112398741977956,2.107503353670724
"IMAGE 3.0.1","SSP1-19","World","AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|5.0th Percentile","K",0.6367321731985257,0.6621787151797767,0.680414544395297,0.6971285622748761,0.710188157651492,0.7217366084428184,0.7341354023871723,0.7489485531657214,0.7697510972875395,0.7890955702174467,0.8061836469722078,0.8308380913843681,0.8518152851513292,0.8760780493970464,0.8976490708554766,0.9139612534923298,0.9300757070069609,0.944073485047841,0.9605514280332804,0.9794320196093734,0.9949417527541524,1.011867294096276,1.029378028500608,1.04180302609858,1.062219550127438,1.07703850735282,1.090105497842687,1.097483043590914,1.107428543589195,1.114100237647475,1.118501313097818,1.118539499913246,1.122617942928444,1.12839459452949,1.134083145152482,1.134193791944716,1.138728193334501,1.141571512005586,1.143947558808733,1.142263266150663,1.13541875515289,1.126121175466535,1.122090702743027,1.120131084230836,1.118784883564732,1.11956675330132,1.120934208181376,1.123467746756985,1.124435953656726,1.12285518891972,1.116037572091789,1.108304243783193,1.09924282746429,1.088848731554746,1.08333532900094,1.080019032105047,1.078217673130019,1.074229803191799,1.070796696244861,1.067254483238323,1.060010929901189,1.05171558274042,1.043252855088346,1.03593284821699,1.029404802244179,1.025640557139071,1.024174767787687,1.02370174642714,1.022899222253022,1.020409375897808,1.015233742370823,1.006863557015625,0.9984729250890017,0.9903979827672472,0.9821237088426876,0.9742081131005448,0.9670887033894456,0.9603688759647055,0.95511049609155,0.9537380575573496,0.9525332259574892,0.9496117512577386,0.9452080834097776,0.9383375980073018,0.9309478631004412,0.9217388887847404,0.9126936121756668,0.9066510650372378,0.90110687139975,0.8967779915141191,0.8939355127970264,0.8928810456479233,0.8923606775698472,0.8895171226136943,0.8817380264335928,0.8719979392474609,0.8628109680174715,0.8528733572265681,0.8434911164873268,0.8360164732403087,0.8323723741396648
"IMAGE 3.0.1","SSP1-19","World","AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile","K",0.7721363366232377,0.8056611975844025,0.8271420057794328,0.8442944059134287,0.8572367571666304,0.8681523466910689,0.8819046690827494,0.8989091614109932,0.9278051963806668,0.9539763535645752,0.9755629259259608,1.006372935416786,1.033262324921171,1.065928466173721,1.093616770376162,1.115666119020118,1.136043123161897,1.157545257231608,1.179557573077157,1.20420757511689,1.228753807126761,1.257308784768178,1.287591574121149,1.313740188399325,1.341936059258098,1.363133929104367,1.381089477624398,1.397177348763229,1.417563626168164,1.437751271107886,1.4536509704217,1.464751690815622,1.472677537988899,1.481851322254721,1.492300643244736,1.50130840211538,1.509711644730076,1.516358097317804,1.521316575731899,1.523726531955274,1.521242660233214,1.517933291514438,1.517533038158172,1.517518335886239,1.518080509500475,1.524101453012688,1.527773940296717,1.532340735386726,1.532440570294908,1.531947241956593,1.523916388860373,1.519294891757471,1.512140583449167,1.504802287786667,1.498557433662587,1.493055669766461,1.492704120777617,1.491684292018611,1.489923081912284,1.486603868516491,1.482131600105375,1.475515222345216,1.46747407547834,1.459387306395149,1.450944864333104,1.445350627278742,1.442332637140875,1.441754913793333,1.441301450889473,1.438516665682029,1.4325239611309,1.424471949325778,1.415670229503067,1.406206391763646,1.397014821135435,1.389368336723346,1.383463761325741,1.3782942763227,1.372579233675946,1.369227186689211,1.366703210755658,1.362387954042019,1.359035656436839,1.354321996641558,1.347984208403295,1.33935936519933,1.330618492485865,1.321826187071306,1.313858375033301,1.307693177860797,1.304867118065253,1.302440206682696,1.301472681317133,1.298418538644191,1.292030176064686,1.284056732270542,1.273326630719824,1.26213518400641,1.250906026841093,1.24176128532671,1.235314012456408
"IMAGE 3.0.1","SSP1-19","World","AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|95.0th Percentile","K",0.8793779330484511,0.9211405923104122,0.951794749263391,0.9734445226698756,0.9884594636250488,1.002205883195723,1.017617460002421,1.033774387972132,1.06332806089965,1.093089416934262,1.118528515855578,1.161776895054693,1.195407747514875,1.235584328927566,1.268225366332373,1.296305066651557,1.326279575229491,1.358107032797305,1.390656724519063,1.42289179466985,1.459368170582717,1.49443297979125,1.535326201335342,1.578864833391382,1.624338055934586,1.666118894739917,1.702029689323268,1.735542094571606,1.770204593642382,1.801755678021726,1.835963963958479,1.859856604379388,1.8802761800916,1.899617793894498,1.923123356603602,1.945940922303869,1.966476056650685,1.986098843968212,2.00612349094985,2.020668092798596,2.023759198170998,2.024493163522762,2.032208685425082,2.041723956085134,2.051523645529027,2.062586348880843,2.076453686917195,2.091451468775158,2.10389936012894,2.11132128580863,2.113059621444006,2.110872763462024,2.106813172684354,2.102131170363657,2.099308120544555,2.098780730890295,2.104600915998732,2.106612119230295,2.104314125178977,2.102703551873867,2.102706174930528,2.102352722174601,2.098032233337226,2.088226002400017,2.07877907682813,2.072321462261308,2.071220611504791,2.072707272033577,2.076662162570272,2.078158916274152,2.075596126760805,2.069338142417368,2.061949133452807,2.055241167460642,2.051613051191233,2.047924139803558,2.041615136032912,2.034811543861633,2.032642047465222,2.031347644940185,2.030059713538969,2.027625321226147,2.025651181083906,2.02083969207359,2.011967407437665,2.000819775128947,1.988238617793957,1.976697450692584,1.968671704997088,1.964326422640014,1.962707989450773,1.962012754417666,1.961908448618699,1.958974142831438,1.953159715785172,1.94475946860937,1.934003306513702,1.924287951313544,1.915590249190906,1.908892741031025,1.904872198363225
"IMAGE 3.0.1","SSP1-19","World","AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|95.0th Percentile","W/m^2",2.657661883865041,2.678335392388077,2.678091066794761,2.612977723670228,2.659260220940046,2.63304433918943,2.639272813019237,2.690013260938555,2.763263742081448,2.79476449328222,2.903580204459046,2.948446519218688,3.023581075296491,3.116753196679526,3.140456326109081,3.203427469548361,3.220069048845591,3.269622640140196,3.292169488641512,3.302496448637692,3.323661230022851,3.379413372675058,3.426353564891083,3.457740443744909,3.475461726451063,3.460629106356784,3.439317519158529,3.414606417745027,3.406352309242885,3.403726240802575,3.405014653630696,3.392228331172488,3.388396365219966,3.402427589105121,3.431583710632362,3.425291373887394,3.431670797849077,3.402415989671828,3.389018716223789,3.354698045196723,3.316821487128308,3.282189795582853,3.262450957287733,3.25066692723363,3.250260201654376,3.271085037863453,3.287802516946353,3.303192874982303,3.293811543965171,3.258750505173172,3.213478954177514,3.176628946977316,3.145970155786727,3.119475689838898,3.108457047935913,3.113566358541434,3.124656210223334,3.109952270405313,3.097741634144766,3.087435835350433,3.053429533930891,3.02363777918031,2.997755622929787,2.978584221179735,2.963770018762107,2.956668989019533,2.969445803746906,2.980138315087374,2.981799887180669,2.960977027930043,2.933844440554843,2.899013504508085,2.874756913130653,2.853790517331407,2.828678617247166,2.812070324228792,2.793902644919981,2.786750709422186,2.789491576664864,2.793117903758846,2.794119879061284,2.781858461611098,2.767538794300727,2.738949464079521,2.720340923801015,2.683973920525258,2.660245048236449,2.643885933815457,2.630359805791348,2.631825301838532,2.64378850138305,2.649115731108782,2.657357960916773,2.630633166245333,2.591377243559065,2.554420717939599,2.51612751942988,2.493253836361049,2.469391459903596,2.461880997968835,2.463924541830277
"IMAGE 3.0.1","SSP1-19","World","AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|50.0th Percentile","K",0.7623774623571519,0.8119315171042766,0.8488441945315958,0.8727811545712288,0.8898032111760387,0.9036754266924548,0.911694880807334,0.9224931506296932,0.9385866846587202,0.9583938334586476,0.9801581948795168,1.004033858337768,1.028536628676223,1.056941911094347,1.084233719256086,1.111952464427747,1.140245265074846,1.170022672016246,1.196022863636711,1.219741194287556,1.241087090382527,1.26554239670102,1.289074649738883,1.312752441439238,1.334776933295566,1.354680240343827,1.369289245117821,1.37843283843084,1.385640237749822,1.39230705197171,1.398125127501161,1.403514676242231,1.406654454761486,1.409449061225947,1.414496090361167,1.421427074846996,1.42691797413847,1.430535205444908,1.432371673185822,1.431407000602836,1.428239504386377,1.422098412242922,1.415276414022185,1.408961134749887,1.404112027482974,1.402768138088717,1.403899595938034,1.405545869082364,1.408315254713992,1.407913114915881,1.404982776479447,1.399937019388442,1.392626272101962,1.385524370629808,1.377806466635959,1.371129112602037,1.367733601222088,1.366417879450104,1.36506280565825,1.362437991303302,1.359493962754871,1.353137524389939,1.34643313154914,1.340011134364518,1.333564404572694,1.32729571449455,1.324086781490244,1.323438423089199,1.324802155369592,1.326185617568007,1.32472607775194,1.320120873214571,1.314144956819553,1.308956474462206,1.302108265473477,1.295275017230781,1.288208752959052,1.282556574468848,1.27859457633743,1.277048234529303,1.275701628697363,1.274071527486168,1.27181940409841,1.269016086170992,1.264828987576653,1.257990848558864,1.250234299346349,1.242523654606382,1.23526860488548,1.229108318318306,1.224986057862451,1.224541993279274,1.22604408825267,1.22665703889539,1.223296931693101,1.21676303954763,1.20836048575116,1.199681113521513,1.190487816522178,1.18187974141274,1.17623733036054
"IMAGE 3.0.1","SSP1-19","World","AR6 climate diagnostics|Surface Temperature (GSAT)|FaIRv1.6.2|5.0th Percentile","K",0.6276610612654674,0.6712284905378203,0.7016113967807333,0.7179630520463118,0.7311475919892989,0.7398516205314373,0.7456653965892174,0.7519962585340078,0.7656917819541806,0.7812025140631924,0.7989199833243726,0.8185200040597655,0.8378837724721709,0.8595704973746938,0.8832614052449892,0.9046822608144178,0.925806005153212,0.9496359554833236,0.9708003761197462,0.9911009157416932,1.006323684526649,1.021050698631775,1.038574004933552,1.05592594015924,1.069182545577668,1.082788876104348,1.089491412362694,1.09310539282472,1.088839404518019,1.088561038348636,1.0853572658917,1.089271945537002,1.088606453850209,1.088390378002873,1.087945205045993,1.091018719593231,1.093363716990826,1.095215075130066,1.095166242446323,1.093789909887683,1.089440784454688,1.083000308946419,1.074761810610343,1.069523477029386,1.06457790281942,1.063566820202922,1.064934955265315,1.064372238789404,1.06597316610705,1.065669932200975,1.059971769781037,1.053424261962382,1.044996506428312,1.037098567217146,1.030717721548313,1.025173706950472,1.022230942649281,1.019906979961994,1.017966274782991,1.015842173725122,1.01221729648756,1.006202275232739,0.9988185948379008,0.9927259675347948,0.9866578659947046,0.9810957749030916,0.9797752059089846,0.9795178573819578,0.9797392765426878,0.9792658883674245,0.976537661700196,0.9717545592454152,0.9655110121335668,0.959545436534086,0.9531438268480442,0.9467461758289174,0.9412729240896102,0.9365314069380428,0.9335845662793149,0.9311134790955352,0.93031829492525,0.9294997910112704,0.928021458916768,0.9248344995529906,0.9213430908174738,0.916489979135905,0.9096367157528548,0.9031187961753548,0.8969054422422981,0.892018676663319,0.8905939991411471,0.8917745211897421,0.8924499151922134,0.8920003083086383,0.8894999883112,0.8834978228892091,0.8746179055729921,0.8650427820151599,0.8575233462406274,0.8525325817970507,0.8474776961169551
"IMAGE 3.0.1","SSP1-19","World","AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|5.0th Percentile","W/m^2",1.763191999517468,1.774933788259369,1.690374006869275,1.608526133757019,1.663439171635192,1.613927448455839,1.586011128218568,1.644585580890775,1.752666660818008,1.791944799594201,1.829121938388484,1.914462659244813,1.92775888114022,2.07001001850638,2.03879896179999,2.142489538915803,2.207779291510453,2.305971756665672,2.360368607001063,2.406510359753616,2.454334286673304,2.52098343396184,2.593203249093636,2.64339788876791,2.676341175765941,2.672610220828419,2.66790048030002,2.655963998145065,2.657945073335099,2.665438587662699,2.67537408950635,2.660724537536049,2.656465860183861,2.671397421897581,2.701896026569985,2.696197630402358,2.704251349563114,2.680581525976706,2.668546262998043,2.6290094625959,2.595378005851084,2.562797711443088,2.547613858847429,2.53709165065425,2.538684215435651,2.568387507271722,2.580122551938118,2.595497567529313,2.590436391992383,2.558440949283356,2.506152278515729,2.469241796102522,2.438834208131261,2.415710951224124,2.407609831738601,2.417017927454686,2.430666279108986,2.419657094345436,2.413910940182284,2.404553188194858,2.366523626976959,2.334941546261912,2.306857139578426,2.29163858530311,2.27972762280923,2.275803733892386,2.293878949922223,2.310351033420718,2.31129380895048,2.295555263145048,2.271313295136469,2.235922924251222,2.21484968239453,2.194938958530409,2.17107783143524,2.156391389976721,2.14089176216064,2.136835707227162,2.143868897170625,2.151320916771983,2.152065896529376,2.14299641126777,2.129537605958604,2.102629425755894,2.084765580605854,2.047832264140464,2.022652312473719,2.009272415103529,1.997961949163862,2.005415403253424,2.017393941685048,2.024366878788333,2.037972544131084,2.01368542428107,1.976124230703229,1.946985568133518,1.911333785354105,1.889236317960651,1.868626293270196,1.862899143894643,1.867794635516683
